## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT alignment/SRR35526940_RG_sorted.bam --OUTPUT alignment/SRR35526940_dedup.bam --METRICS_FILE alignment/SRR35526940_dup_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 06 11:50:56 PKT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BRCA_library	32	923044	1722	1462	31	915171	0	0.99147	7873

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
2286.0	0	1	1
2298.0	0	1	1
2336.0	0	1	1
2348.0	0	1	1
2364.0	0	1	1
2372.0	0	1	1
2387.0	0	1	1
2389.0	0	1	1
2412.0	0	1	1
2423.0	0	1	1
2428.0	0	1	1
2437.0	0	1	1
2440.0	0	1	1
2454.0	0	2	2
2466.0	0	1	1
2514.0	0	1	1
2529.0	0	1	1
2544.0	0	1	1
2546.0	0	1	1
2561.0	0	1	1
2571.0	0	1	1
2576.0	0	1	1
2587.0	0	1	1
2605.0	0	1	1
2623.0	0	1	1
2639.0	0	1	1
2649.0	0	1	1
2656.0	0	2	2
2688.0	0	1	1
2707.0	0	1	1
2713.0	0	1	1
2758.0	0	1	1
2764.0	0	1	1
2784.0	0	1	1
2790.0	0	1	1
2802.0	0	1	1
2809.0	0	1	1
2823.0	0	1	1
2828.0	0	1	1
2846.0	0	1	1
2861.0	0	1	1
2868.0	0	1	1
2878.0	0	1	1
2881.0	0	1	1
2897.0	0	1	1
2903.0	0	1	1
2937.0	0	1	1
3000.0	0	1	1
3019.0	0	1	1
3021.0	0	1	1
3033.0	0	1	1
3059.0	0	1	1
3066.0	0	2	2
3109.0	0	1	1
3115.0	0	1	1
3117.0	0	1	1
3118.0	0	1	1
3134.0	0	1	1
3135.0	0	1	1
3137.0	0	1	1
3227.0	0	1	1
3235.0	0	1	1
3236.0	0	1	1
3238.0	0	1	1
3264.0	0	1	1
3340.0	0	1	1
3362.0	0	1	1
3391.0	0	1	1
3412.0	0	1	1
3435.0	0	1	1
3436.0	0	1	1
3451.0	0	1	1
3459.0	0	1	1
3467.0	0	1	1
3484.0	0	1	1
3506.0	0	1	1
3508.0	0	1	1
3519.0	0	1	1
3536.0	0	1	1
3563.0	0	1	1
3567.0	0	1	1
3585.0	0	1	1
3590.0	0	1	1
3592.0	0	1	1
3600.0	0	1	1
3648.0	0	1	1
3652.0	0	1	1
3656.0	0	1	1
3659.0	0	1	1
3664.0	0	1	1
3690.0	0	1	1
3698.0	0	1	1
3727.0	0	1	1
3736.0	0	1	1
3740.0	0	2	2
3750.0	0	1	1
3813.0	0	1	1
3891.0	0	1	1
3904.0	0	1	1
3920.0	0	1	1
3925.0	0	1	1
3967.0	0	1	1
4080.0	0	1	1
4081.0	0	1	1
4090.0	0	1	1
4102.0	0	1	1
4213.0	0	1	1
4221.0	0	1	1
4224.0	0	1	1
4227.0	0	1	1
4405.0	0	2	2
4409.0	0	1	1
4466.0	0	1	1
4470.0	0	1	1
4563.0	0	1	1
4564.0	0	1	1
4606.0	0	1	1
4622.0	0	1	1
4648.0	0	1	1
4676.0	0	1	1
4688.0	0	1	1
4829.0	0	1	1
4831.0	0	1	1
4850.0	0	1	1
4860.0	0	1	1
4896.0	0	1	1
4900.0	0	1	1
4941.0	0	1	1
5085.0	0	1	1
5128.0	0	1	1
5160.0	0	1	1
5400.0	0	1	1
5428.0	0	1	1
5449.0	0	1	1
5509.0	0	1	1
5569.0	0	1	1
5920.0	0	1	1
5998.0	0	1	1
6017.0	0	1	1
6073.0	0	1	1
6118.0	0	1	1
6128.0	0	1	1
6195.0	0	1	1
6216.0	0	1	1
6313.0	0	1	1
6320.0	0	1	1
6346.0	0	1	1
6715.0	0	1	1
6834.0	0	1	1
6890.0	0	1	1
6900.0	0	1	1
7003.0	0	1	1
7164.0	0	1	1
7180.0	0	1	1
7325.0	0	1	1
7418.0	0	1	1
7425.0	0	1	1
7438.0	0	1	1
7478.0	0	1	1
7901.0	0	1	1
8327.0	0	1	1
8783.0	0	1	1
8844.0	0	1	1
8961.0	0	1	1
9668.0	0	1	1
10199.0	0	1	1
10768.0	0	1	1
11392.0	0	1	1
11622.0	0	1	1
11756.0	0	1	1
12083.0	0	1	1

